Sl No	Question	Answer	Reference
23409	In Hezekiah's written prayer what did Hezekiah say would happen halfway through his life?	He said he would go through the gates of Sheol. 	Isaiah 38:10
23410	At the beginning of Hezekiah's written prayer what did he say concerning Yahweh?	Hezekiah said he would no longer see Yahweh in the land of the living. 	Isaiah 38:11-15
23411	What did Hezekiah say to the Lord concerning his sufferings and grief?	Hezekiah said the sufferings the Lord sent were good for him and that it was for Hezekiah's benefit that he experienced such grief. 	Isaiah 38:16
23412	What did Hezekiah say to the Lord concerning his sufferings and grief?	Hezekiah said the sufferings the Lord sent were good for him and that it was for Hezekiah's benefit that he experienced such grief. 	Isaiah 38:17-19
23413	How was Hezekiah going to celebrate Yahweh saving him?	Hezekiah said they would celebrate with music all the days of their lives in the house of Yahweh. 	Isaiah 38:20
23414	What did Isaiah say to do so that Hezekiah would recover?	He said, "Let them take a cake of figs and lay it as plaster on the boil and he will recover. 	Isaiah 38:21-22
23415	Who sent letters and a present to Hezekiah?	Merodach-baladan the son of Baladan, king of Babylon sent letters and a present to Hezekiah. 	Isaiah 39:1
23416	What did Hezekiah show to those who brought the letters and present from Merodach-baladan?	Hezekiah showed them his treasury—the silver, the gold, the spices, the precious oil, the storehouse of his weapons, and all that was found in his storehouses. Hezekiah showed them everything in his house and kingdom. 	Isaiah 39:2
23417	What did Isaiah ask Hezekiah?	He asked Hezekiah what the men had said to him, where they had come from, and what they had seen in Hezekiah's house. 	Isaiah 39:3
23418	What did Isaiah ask Hezekiah?	He asked Hezekiah what the men had said to him, where they had come from, and what they had seen in Hezekiah's house. 	Isaiah 39:4
23419	What things did Isaiah say to Hezekiah would be taken to Babylon?	Yahweh told Hezekiah that all he and his ancestors had stored up until that day would be carried off to Babylon. 	Isaiah 39:5
23420	What things did Isaiah say to Hezekiah would be taken to Babylon?	Yahweh told Hezekiah that all he and his ancestors had stored up until that day would be carried off to Babylon. 	Isaiah 39:6-7
23421	Why did Hezekiah think the word of Yahweh that Isaiah spoke was good?	He thought it was good because he thought there would be peace and stability in his days. 	Isaiah 39:8
23422	How does God say to comfort his people?	He says to comfort them by speaking tenderly to Jerusalem, telling her that her warfare has ended and her iniquity is pardoned and that she has received double from Yahweh's hand for all her sins. 	Isaiah 40:2
23423	What does a voice cry out?	It cries, "In the wilderness prepare the way of Yahweh; make straight in the Arabah a highway for our God." 	Isaiah 40:3
23424	What will happen to the land in Israel?	Every valley lifted up, every mountain and hill leveled, the rugged land made level and the rough places made into a plain. 	Isaiah 40:4
23425	To whom will the glory of Yahweh be revealed?	Yahweh's glory will be seen by all people together. 	Isaiah 40:5-7
23426	What will stand forever?	The word of our God will stand forever. 	Isaiah 40:8
23427	What good news was to be proclaimed to Jerusalem and the cities of Judah?	The good news was, "Here is your God!" 	Isaiah 40:9
23428	How does the Lord Yahweh come?	He comes as a victorious warrior. 	Isaiah 40:10-14
23429	What are the nations like to Yahweh?	The nations are like a drop in a bucket to Yahweh and are regarded like the dust on the scales. 	Isaiah 40:15-21
23430	Where does God sit?	God sits above the horizon of the earth. 	Isaiah 40:22
23431	What does God do to rulers?	God reduces rulers to nothing and makes the rulers of the earth insignificant. 	Isaiah 40:23-25
23432	What does Yahweh do with the stars?	He leads out their formations and calls them all by name and by the greatness of his might and the strength of his power, not one is missing. 	Isaiah 40:26-27
23433	Who is Yahweh, and what is he like?	Yahweh is the everlasting God, the creator of the ends of the earth. He does not get tired or weary and there is no limit to his understanding. 	Isaiah 40:28
23434	What does Yahweh do for the tired and weary?	Yahweh gives strength to the tired and renewed energy to the weary. 	Isaiah 40:29-30
23435	What will happen to those who wait on Yahweh?	Those who wait on Yahweh will renew their strength; they will soar with wings like eagles; they will run and not be weary; they will walk and not faint. 	Isaiah 40:31
23436	For what purpose does Yahweh say, "let us come near together"?	Yahweh says for them to come near together so that they may argue a dispute. 	Isaiah 41:1-3
23437	Who has called forth the generations from the beginning?	It is Yahweh who has done these things. 	Isaiah 41:4
23438	What is the response of the isles who have seen and are afraid and the ends of the earth that tremble?	Their response is to approach and come and they encourage one another to build an idol. 	Isaiah 41:5
23439	What is the response of the isles who have seen and are afraid and the ends of the earth that tremble?	Their response is to approach and come and they encourage one another to build an idol. 	Isaiah 41:6
23440	What is the response of the isles who have seen and are afraid and the ends of the earth that tremble?	Their response is to approach and come and they encourage one another to build an idol. 	Isaiah 41:7
23441	What does Yahweh call Israel?	Yahweh calls Israel his servant, the offspring of Abraham his friend and he calls Israel chosen. 	Isaiah 41:8
23442	What does Yahweh call Israel?	Yahweh calls Israel his servant, the offspring of Abraham his friend and he calls Israel chosen. 	Isaiah 41:9
23443	What does Yahweh tell Israel not to do and why?	Yahweh tells Israel not to fear for Yahweh is with them and to not be anxious because he is their God. 	Isaiah 41:10
23444	What will happen to those who are angry with and oppose Israel?	They will be ashamed and disgraced and will be as nothing and will perish. 	Isaiah 41:11-15
23445	What will Israel do when they winnow those who war against them and contend with them?	Israel will rejoice in Yahweh, in the Holy One of Israel. 	Isaiah 41:16
23446	What will Yahweh do when the oppressed and needy look for water?	Yahweh says he will respond to their prayers by making streams flow down the slopes and making springs in the middle of the valleys, by making the desert into a pool of water and the dry land into springs of water. He will not forsake them. 	Isaiah 41:17
23447	What will Yahweh do when the oppressed and needy look for water?	Yahweh says he will respond to their prayers by making streams flow down the slopes and making springs in the middle of the valleys, by making the desert into a pool of water and the dry land into springs of water. He will not forsake them. 	Isaiah 41:18-20
23448	What does Yahweh say to those who follow idols?	He says to present their case, bring forth their best arguments for their idols. 	Isaiah 41:21
23449	What evidence does Yahweh say those who follow idols should present so we can know if we can believe in them or not	For evidence Yahweh says to tell what will happen, and to tell of earlier predictions so we can reflect on them and know how they were fulfilled. 	Isaiah 41:22-23
23450	What is Yahweh's assessment of the idols and the people who choose them?	Yahweh says their idols are of nothing and their deeds are nothing; he who chooses them is abominable. 	Isaiah 41:24
23451	Who among those who worship idols decreed or declared that one would come from the north and would trample the rulers like mud, like a potter who is treading clay?	None of those who worship idols decreed it and no one heard them say anything. 	Isaiah 41:25
23452	Who among those who worship idols decreed or declared that one would come from the north and would trample the rulers like mud, like a potter who is treading clay?	None of those who worship idols decreed it and no one heard them say anything. 	Isaiah 41:26
23453	What did Yahweh say concerning the one he raised up from the north?	He said first to Zion, 'Look here they are;' He sent a herald to Jerusalem. 	Isaiah 41:27
23454	In this chapter what are Yahweh's final words about those who follow idols?	Here are his words: "When I look, there is no one, not one among them who can give counsel, who, when I ask, can answer a word. Look all of them are nothing, and their deeds are nothing; their cast-poured figures are wind and emptiness. 	Isaiah 41:28
23455	In this chapter what are Yahweh's final words about those who follow idols?	Here are his words: "When I look, there is no one, not one among them who can give counsel, who, when I ask, can answer a word. Look all of them are nothing, and their deeds are nothing; their cast-poured figures are wind and emptiness. 	Isaiah 41:29
23456	What does Yahweh say he has done for his servant?	Yahweh says he has chosen his servant, that he delights in him and that he has put his spirit upon him. 	Isaiah 42:1-2
23457	What will Yahweh's servant not do to a crushed reed or a dimly burning wick?	Yahweh says his servant will not break a crushed reed or quench a dimly burning wick. 	Isaiah 42:3-4
23458	How does Yahweh describe himself?	He describes himself as the one who created the heavens and stretched them forth; who spread out the earth and gives life in it; who gives breath to the people on the earth and life to those who live on it. 	Isaiah 42:5-6
23459	What did Yahweh want his chosen servant to do for blind people and prisoners?	Yahweh wanted his servant to open the eyes of the blind, to release the prisoners from the dungeon, and from the house of confinement those who sit in darkness. 	Isaiah 42:7
23460	What does Yahweh say he will not share?	He says he will not share his glory with another nor his praise with carved idols. 	Isaiah 42:8
23461	How does Yahweh contrast himself with carved idols?	In contrast to carved idols, things came to pass when Yahweh declared them. 	Isaiah 42:9-12
23462	What will Yahweh do to his enemies?	He will show them his power. 	Isaiah 42:13-15
23463	What will Yahweh do for the blind?	He will bring the blind by a way they do not know; in paths that they do not know he will lead them. He will turn the darkness into light before them and make the crooked places straight and he will not abandon them. 	Isaiah 42:16
23464	What will happen to those who trust in idols and say to cast metal figures, "You are our gods"?	They will be turned back and completely put to shame. 	Isaiah 42:17
23465	What are the deaf and blind commanded to do?	The deaf are commanded to listen and the blind are commanded to look that they may see. 	Isaiah 42:18-19
23466	Why does Yahweh command them to listen and see?	He commands them to listen and see because although they saw many things, but did not comprehend; their ears were open but no one really heard. 	Isaiah 42:20-21
23467	What does Yahweh say is the peoples' condition?	Yahweh said the people were robbed and plundered; they were all trapped in pits, held captive in prisons; they had become plunder with none to deliver them. 	Isaiah 42:22-23
23468	Who gave Jacob over to the robber, and Israel to the looters?	It was Yahweh who gave them over. 	Isaiah 42:24
23469	Did Israel realize who had inflicted them with the devestation of war and why he had done it?	No! It blazed around them, yet they did not realize it; it burned them, but they did not take it to heart. 	Isaiah 42:25
23470	In general what did Yahweh tell Jacob, Israel, to do?	He told Jacob, Israel, not to be afraid. 	Isaiah 43:1
23471	What did Yahweh say he would do for Israel to protect them?	Yahweh said rivers would not overwhelm Israel and that they wouldn't be harmed or burned by fire or flames. 	Isaiah 43:2
23472	What has Yahweh given in ransom and exchange for Israel?	He has given Egypt as ransom and Ethiopia and Seba in exchange for Israel. 	Isaiah 43:3-4
23473	What did Yahweh say he would do for Israel's offspring?	Yahweh said he would bring them from the east and gather them from the west. 	Isaiah 43:5-9
23474	Why did Yahweh predict the gathering of his sons and daughters from the east and the west and announce to them earlier events?	Yahweh did this so that they might know him, believe in him and understand that he is God. 	Isaiah 43:10
23475	Is there any other god or savior than Yahweh?	Before Yahweh no god was formed and there will be none after him. He is Yahweh and there is no savior but him. 	Isaiah 43:11-12
23476	Who can deliver us out of God's hand?	No one can deliver us from God's hand. 	Isaiah 43:13
23477	For whose sake did Yahweh send to Babylon and lead them all down as fugitives, turning the Babylonian's expressions of joy into songs of lamentation?	Yahweh did this for Israel's sake. 	Isaiah 43:14-15
23478	What former things had Yahweh done that he tells them not to remember or consider?	Yahweh had opened a way through the sea and a path in the mighty waters. He led out the chariot and horse, the army and the mighty host. They fell down together never to rise again. They were extinguished, quenched like a burning wick. 	Isaiah 43:16
23479	What former things had Yahweh done that he tells them not to remember or consider?	Yahweh had opened a way through the sea and a path in the mighty waters. He led out the chariot and horse, the army and the mighty host. They fell down together never to rise again. They were extinguished, quenched like a burning wick. 	Isaiah 43:17-18
23480	What new thing does Yahweh say he was about to do in the desert and in the wilderness?	Yahweh said he would make a road in the desert and a stream of water in the wilderness. 	Isaiah 43:19-21
23481	What did this people, Israel, whom Yahweh formed for himself fail to do for Yahweh?	Israel failed to call on Yahweh. They did not bring him any sheep as burnt offerings and they did not honor him with their sacrifices. 	Isaiah 43:22
23482	What did this people, Israel, whom Yahweh formed for himself fail to do for Yahweh?	Israel failed to call on Yahweh. They did not bring him any sheep as burnt offerings and they did not honor him with their sacrifices. 	Isaiah 43:23
23483	What did Israel do to Yahweh?	Israel burdened Yahweh with their sins and wearied him with their evil deeds. 	Isaiah 43:24
23484	Why does Yahweh blot out Israel's offenses and not remember their sins?	Yahweh does this for his own sake. 	Isaiah 43:25-26
23485	Why was Yahweh going to defile the officials of the sanctuary; handing Jacob over to the destructive ban and Israel to abusive humiliation?	Yahweh was doing this because their first father sinned and their spokesmen had transgressed against Yahweh. 	Isaiah 43:27
23486	Why was Yahweh going to defile the officials of the sanctuary; handing Jacob over to the destructive ban and Israel to abusive humiliation?	Yahweh was doing this because their first father sinned and their spokesmen had transgressed against Yahweh. 	Isaiah 43:28
23487	Why did Yahweh tell Jacob he was going to pour out on Jacob's offspring?	Yahweh said he was going to pour out his spirit on their offspring. 	Isaiah 44:3-6
23488	How could someone prove to Yahweh that there was someone else like him; another god?	To prove that to Yahweh you would have to explain to him the events that occurred since Yahweh established his ancient people and they would have to declare the events to come. 	Isaiah 44:7-8
23489	What does Yahweh say concerning those who fashion idols?	Yahweh says they are nothing and that the things they delight in are worthless and they will be put to shame. 	Isaiah 44:9-10
23490	What will happen to the craftsmen and their associates who form a god or cast an idol?	Craftsmen and their associates who form a god or cast an idol will be put to shame. 	Isaiah 44:11-13
23491	How does a carpenter start to make an idol?	He cuts down cedar trees, or chooses a cyprus tree or an oak tree. 	Isaiah 44:14
23492	What does the man do with the wood from the tree he has cut down?	The man uses part of it for a fire and warms himself with it, bakes bread with it and roasts his meat over it and with part of it he makes an idol, a god, and bows down to it. 	Isaiah 44:15
23493	What does the man do with the wood from the tree he has cut down?	The man uses part of it for a fire and warms himself with it, bakes bread with it and roasts his meat over it and with part of it he makes an idol, a god, and bows down to it. 	Isaiah 44:16-18
23494	Because those who make and worship idols are without understanding or knowledge and their eyes are blind and their hearts are unperceiving, what two questions do they not ask themselves?	First, they don't ask themselves if they should make the other part of the wood into something disgusting to worship. Second, they don't ask themselves if it is reasonable to bow down to a block or wood. 	Isaiah 44:19-20
23495	Why are Jacob and Israel told to think about Yahweh as the only God and idols as nothing ?	They are to remember these things because Yahweh formed them, they are his servants and he will not forget them. Also Yahweh has blotted out their sins and rebellious deeds. 	Isaiah 44:21
23496	Why are Jacob and Israel told to think about Yahweh as the only God and idols as nothing ?	They are to remember these things because Yahweh formed them, they are his servants and he will not forget them. Also Yahweh has blotted out their sins and rebellious deeds. 	Isaiah 44:22
23497	Why are the heavens, the mountains, the forest and every tree commanded to sing?	They are commanded to sing because Yahweh has redeemed Jacob and will show his glory in Israel. 	Isaiah 44:23-24
23498	What does Yahweh do to omens and to those who read them?	Yahweh frustrates the omens of the empty talkers and disgraces those who read omens. 	Isaiah 44:25
23499	What does Yahweh do for his servant and messengers?	Yahweh fulfills the declarations of his servant and brings to pass the counsel of his messengers. 	Isaiah 44:26-27
23500	What did Yahweh say about Cyrus and what he would do?	Yahweh said of Cyrus, "He is my shepherd, he will do my every wish—he will decree about Jerusalem, 'Let her be rebuilt,' and about the temple, 'Let your foundations be laid.'" 	Isaiah 44:28
23501	In this chapter, who is the Lord's annointed?	In this chapter, Yahweh says Cyrus is his anointed. 	Isaiah 45:1-2
23502	Why will Yahweh go before Cyrus and level the mountains, break in pieces the doors of bronze, cut in pieces their iron bars and give him treasures of darkness and riches hidden away?	Yahweh will do these things so that Cyrus will know that it is Yahweh the God of Israel who called him. 	Isaiah 45:3
23503	For whose sake has Yahweh called Cyrus by his name?	Yahweh has done this for Jacob his servants sake and Israel his chosen 	Isaiah 45:4
23504	Did Cyrus know Yahweh?	No, Cyrus did not know Yahweh. 	Isaiah 45:5
23505	Is there is any other God besides Yahweh?	No, there is no other God except Yahweh. 	Isaiah 45:6
23506	Who formed the light and created darkness and who brings peace and creates disaster?	Yahweh is the one who does all these things. 	Isaiah 45:7
23507	Who created salvation?	Yahweh created salvation. 	Isaiah 45:8
23508	To what thing does Yahweh compare someone who argues with his maker?	He compares someone who argues with his maker to clay that says to the potter, "What are you doing?" or, 'What you were making—did you have no hands when you did it?' 	Isaiah 45:9-12
23509	What will Cyrus do for Yahweh?	He will build Yahweh's city; he will let Yahweh's exiled people go home and not for price nor bribe. 	Isaiah 45:13
23510	Is there is any other God besides Yahweh?	No, there is no other God except Yahweh. 	Isaiah 45:14-15
23511	Who will walk in humiliation?	Those who carve idols will walk in humiliation. 	Isaiah 45:16
23512	How long will Israel's salvation last?	Yahweh will save Israel with a everlasting salvation. 	Isaiah 45:17
23513	Is there is any other God besides Yahweh?	No, there is no other God except Yahweh. 	Isaiah 45:18-19
23514	Who has no knowledge?	Those who carry carved images and pray to gods who cannot save, have no knowledge. 	Isaiah 45:20
23515	Is there is any other God besides Yahweh?	No, there is no other God except Yahweh. 	Isaiah 45:21
23516	Is there is any other God besides Yahweh?	No, there is no other God except Yahweh. 	Isaiah 45:22
23517	Who does Yahweh swear by?	Yahweh swears by himself. 	Isaiah 45:23
23518	What will every tongue swear?	Every tongue will swear saying, "In Yahweh alone are deliverance and strength." 	Isaiah 45:24
23519	What will happen with all the descendants of Israel?	In Yahweh all the descendants of Israel will be justified; they will take pride in him. 	Isaiah 45:25
23520	What are Bel and Nebo?	They are idols. 	Isaiah 46:1-2
23521	Who carried the house of Jacob?	Yahweh carried the house of Jacob. 	Isaiah 46:3
23522	How long has Yahweh carried the house of Jacob and how long will he carry them?	Yahweh carried them before their birth and will carry them even until their hair is gray. 	Isaiah 46:4-5
23523	What do people do with gold and silver?	The people hire a metalsmith and he takes their gold and silver and make it into a god. 	Isaiah 46:6
23524	Can that god save answer them or save them?	No it cannot answer nor save anyone from his trouble. 	Isaiah 46:7-8
23525	To whom can Yahweh be compared? Who is like him?	Yahweh is God and there is no other. There is no one like him. 	Isaiah 46:9
23526	What sets Yahweh, God, apart from idols?	Yahweh is set apart by the fact that he announces the end from the beginning, and announces beforehand what has not yet happened. 	Isaiah 46:10-11
23527	What is Yahweh doing for the stubborn people, who are far from doing what is right?	Yahweh is bringing his righteousness near. He will give deliverance to Zion and his beauty to Israel. 	Isaiah 46:12
23528	What is Yahweh doing for the stubborn people, who are far from doing what is right?	Yahweh is bringing his righteousness near. He will give deliverance to Zion and his beauty to Israel. 	Isaiah 46:13
23529	Who will no longer be called dainty and delicate?	The virgin daughter of Babylon, the daughter of the Chaldeans, will no longer be called dainty and delicate. 	Isaiah 47:1-4
23530	What will the daughter of the Chaldeans no longer be called?	The daughter of the Chaldeans will no longer be called Queen of kingdoms. 	Isaiah 47:5
23531	Why was Yahweh upset with the Chaldeans?	Yahweh was upset with the Chaldeans because although Yahweh gave his people into the Chaldean's hands, they showed Yahweh's people no mercy and placed a very heavy yoke on the old people. 	Isaiah 47:6-8
23532	What will happen to the daughter of the Chaldeans in a moment in one day?	The daughter of the Chaldeans will suffer loss of children and widowhood in a moment in one day. 	Isaiah 47:9
23533	What has the daughter of the Chaldeans trusted in?	She has trusted in her wickedness. 	Isaiah 47:10
23534	What did not ward off the disaster and destruction that was coming on the daughters of the Chaldeans?	The incantations of the daughters of the Chaldeans was not able to ward off the disaster and destruction that was coming on them. 	Isaiah 47:11-13
23535	What will happen to those who chart the heavens and look at the stars, those who declare the new moons?	The men who chart the heavens and look at the stars and those who declare the new moons are the ones who will be like stubble. The fire will burn them up.. 	Isaiah 47:14
23536	Who would save the daughter of the Chaldeans?	There was no one to save them. 	Isaiah 47:15
23537	What is the House of Jacob called and from whom do they descend?	They are called Israel and they are descended from Judah. 	Isaiah 48:1-2
23538	What did Yahweh do, knowing that Israel was obsinate?	He declared things from long ago and made them known, he suddenly did them and they came to pass. 	Isaiah 48:3
23539	What did Yahweh do, knowing that Israel was obsinate?	He declared things from long ago and made them known, he suddenly did them and they came to pass. 	Isaiah 48:4
23540	By declaring these things to Israel before hand what did Yahweh hope to prevent?	Yahweh wanted prevent Israel from saying, "My idol has done them," or "my carved figure, or my cast metal figure has ordained these things." 	Isaiah 48:5-8
23541	Why will Yahweh defer his anger and hold back from destroying Israel?	He will do this for the sake of his own name. 	Isaiah 48:9
23542	How did Yahweh purify Israel?	He purified them in the furnace of affliction. 	Isaiah 48:10-13
23543	Who did Yahweh summon and for what purpose?	Yahweh summoned his ally to accomplish his purpose against Babylon. 	Isaiah 48:14
23544	Who did Yahweh summon and for what purpose?	Yahweh summoned his ally to accomplish his purpose against Babylon. 	Isaiah 48:15-17
23545	What would have happened if Israel had obeyed Yahweh's commandments?	If they had obeyed their peace and prosperity would have flowed like a river and their deliverance like the waves of the sea. 	Isaiah 48:18-19
23546	What announcement is to be made to go to the ends of the earth?	The announcement is, "Yahweh has redeemed his servant Jacob". 	Isaiah 48:20-21
23547	Who did Yahweh say would receive no peace?	Yahweh said there was no peace for the wicked. 	Isaiah 48:22
23548	What did Yahweh do for his servant Israel?	Yahweh called him by name from birth. He made Israel's mouth like a sharp sword and hid Israel in the shadow of his hand; he made Israel into a polished arrow; in his quiver Yahweh hid him. 	Isaiah 49:1
23549	What did Yahweh do for his servant Israel?	Yahweh called him by name from birth. He made Israel's mouth like a sharp sword and hid Israel in the shadow of his hand; he made Israel into a polished arrow; in his quiver Yahweh hid him. 	Isaiah 49:2
23550	What is Yahweh going to do through Israel?	Yahweh is going to show his glory through Israel. 	Isaiah 49:3
23551	What is Israel trusting Yahweh for?	Israel says his justice is with Yahweh and his reward is with his God. 	Isaiah 49:4
23552	What is Israel's job as Yahweh's servant?	His job is to resore Jacob again to Yahweh and to gather Israel to him. 	Isaiah 49:5
23553	What is too small a thing for Yahweh's servant?	It is too small a thing to be Yahweh's servant to reestablish the tribes of Jacob, and to restore the survivors of Israel. 	Isaiah 49:6
23554	What will happen to the one who is despised, abhored by the nations, a slave of rulers?	Kings will see him and arise, and princes will see him and bow down. 	Isaiah 49:7
23555	When will Yahweh help and answer his servant?	At a time Yahweh decides to show his favor he will answer his servant, and in a day of salvation Yahweh will protect his servant. 	Isaiah 49:8-9
23556	Who will lead the prisoners?	He who has mercy on the prisoners will lead them. 	Isaiah 49:10-12
23557	Why are the heavens, earth and mountains supposed to sing and be joyful?	They are to sing and be joyful because Yahweh comforts his people, and will have compassion on his afflicted. 	Isaiah 49:13
23558	What was Yahweh's answer to Zion when they complained; "Yahweh has forsaken me, and the Lord has forgotten me."?	Yahweh's answer to Zion was, "Can a woman forget her baby, nursing at her breast, so she does not have compassion on the son she has borne? Yes, they may forget, but I will not forget you. 	Isaiah 49:14
23559	What was Yahweh's answer to Zion when they complained; "Yahweh has forsaken me, and the Lord has forgotten me."?	Yahweh's answer to Zion was, "Can a woman forget her baby, nursing at her breast, so she does not have compassion on the son she has borne? Yes, they may forget, but I will not forget you. 	Isaiah 49:15
23560	What does Yahweh offer as proof of his concern for Zion?	Yahweh states his proof as follows: "Look , I have inscribed your name on my palms; your walls are continually before me. Your children are hurrying back, while those who destroyed you are departing. Look around and see, they are all gathering and coming to you. 	Isaiah 49:16
23561	What does Yahweh offer as proof of his concern for Zion?	Yahweh states his proof as follows: "Look , I have inscribed your name on my palms; your walls are continually before me. Your children are hurrying back, while those who destroyed you are departing. Look around and see, they are all gathering and coming to you. 	Isaiah 49:17
23562	What does Yahweh offer as proof of his concern for Zion?	Yahweh states his proof as follows: "Look , I have inscribed your name on my palms; your walls are continually before me. Your children are hurrying back, while those who destroyed you are departing. Look around and see, they are all gathering and coming to you. 	Isaiah 49:18-19
23563	What will the children born during the time of Zion's bereavement say?	The will say, "The place is too cramped for us, make room for us, so we may live here. 	Isaiah 49:20
23564	What will Zion ask herself?	She will ask, "Who has borne these children for me?" and "Who has raised these children?" and finally, "…where did these come from?" 	Isaiah 49:21
23565	Who will bring Zion's sons and daughters back?	The peoples of the nations will bring them back. 	Isaiah 49:22-23
23566	Can the spoils be taken from the warrior or captives be rescued from a tyrant?	Yes, the captives will be taken away from the warrior and spoils will be rescued; for Yahweh will oppose Zion's adversary and save her children. 	Isaiah 49:24
23567	Can the spoils be taken from the warrior or captives be rescued from a tyrant?	Yes, the captives will be taken away from the warrior and spoils will be rescued; for Yahweh will oppose Zion's adversary and save her children. 	Isaiah 49:25
23568	What will Yahweh do to Zion's oppressors?	He will feed their oppressors with their own flesh. 	Isaiah 49:26
23569	Why was Zion sold and her mother sent away?	Zion was sold because of her sins, and because of her rebellion, her mother was sent away. 	Isaiah 50:1
23570	What happens at Yahweh's rebuke?	At Yahweh's rebuke the sea dries up and he makes the rivers a desert. Yahweh clothes the sky with darkness and cover it with sackcloth. 	Isaiah 50:2
23571	What happens at Yahweh's rebuke?	At Yahweh's rebuke the sea dries up and he makes the rivers a desert. Yahweh clothes the sky with darkness and cover it with sackcloth. 	Isaiah 50:3
23572	What has Yahweh given to his servant?	He has given his servant a tongue as one of those who is taught. 	Isaiah 50:4
23573	Because he was not rebellious and did not turn away backward, what did Yahweh's servant do?	Yahweh's servant gave his back to those who beat him and his cheeks to those who plucked out his beard; He did not hide his face from acts of shame and spitting. 	Isaiah 50:5
23574	Because he was not rebellious and did not turn away backward, what did Yahweh's servant do?	Yahweh's servant gave his back to those who beat him and his cheeks to those who plucked out his beard; He did not hide his face from acts of shame and spitting. 	Isaiah 50:6
23575	Why does Yahweh's servant say he is not disgraced?	The servant says he is not disgraced because the Lord Yahweh will help him. 	Isaiah 50:7-8
23576	What will happen to those who accuse Yahweh's servant and declare him guilty?	His accusers will all wear out like a garment; the moth will eat them up. 	Isaiah 50:9
23577	What should the one who fears Yahweh, who obeys the voice of his servant and the one who walks in deep darkness without light, do?	He should trust in the name of Yahweh and lean on his God. 	Isaiah 50:10
23578	What will Yahweh's servant do to all who kindle a fire, who gird on flames?	Yahweh's servant will cause them to lie down in a place of pain. 	Isaiah 50:11
23579	What did Yahweh say those who pursue righteousness should look to?	Yahweh said to look at the rock from which you were chiseled and to the quarry from which you were cut. 	Isaiah 51:1
23580	What did Yahweh do to Abraham?	Yahweh called him, blessed him and made him many. 	Isaiah 51:2-5
23581	What will happen to the heavens, the earth and its inhabitants?	The heavens will vanish away like smoke, the earth will wear out like a garment; and its inhabitants will die like flies. 	Isaiah 51:6
23582	To whom is this statement directed to: "Do not fear the insult of men, nor be disheartened by their abuse…"?	That statement is directed to those who know what is right and the people who have Yahweh's law in their heart. 	Isaiah 51:7-8
23583	Who crushed the sea monster, dried up the sea and made the depths of the sea into a way for the redeemed to pass through?	The arm of Yahweh did these things. 	Isaiah 51:9
23584	Who crushed the sea monster, dried up the sea and made the depths of the sea into a way for the redeemed to pass through?	The arm of Yahweh did these things. 	Isaiah 51:10
23585	What will overtake and what will flee away from the ransomed of Yahweh when they return and come to Zion?	Joy will overtake them and sorrow and mourning will flee away. 	Isaiah 51:11-13
23586	What will Yahweh do for the one who is bent down?	Yahweh will hurry to release him. 	Isaiah 51:14-16
23587	What did Jerusalem drink from the hand of Yahweh?	They drank the cup of Yahweh's anger; they drank the bowl, the cup of staggering. 	Isaiah 51:17
23588	Who among all the son's of Jerusalem has been born to guide her?	There is no one among all the sons she has born to guide her. 	Isaiah 51:18-22
23589	After Yahweh takes away the cup of staggering from Jerusalem who will he give it to?	He will put it into the hand of Jerusalem's tormentors. 	Isaiah 51:23
23590	What will never again happen to Jerusalem?	Never again will the uncircumcised or the unclean enter Jerusalem. 	Isaiah 52:1-3
23591	Who had recently oppressed Jerusalem?	Assyria had recently oppressed them. 	Isaiah 52:4
23592	In that day why will Yahweh's people know Yahweh's name?	They will know Yahweh's name because his name is slandered continually all the day. 	Isaiah 52:5
23593	In that day why will Yahweh's people know Yahweh's name?	They will know Yahweh's name because his name is slandered continually all the day. 	Isaiah 52:6-7
23594	Who will see Yahweh's return to Zion?	Every eye of Zion's watchmen will see Yahweh's return to Zion. 	Isaiah 52:8
23595	Why should the ruins of Jerusalem break forth into joyful singing together?	They should do this because Yahweh has comforted his people; he has redeemed Jerusalem. Yahweh has bared his holy arm in the sight of all the nations. 	Isaiah 52:9
23596	Why should the ruins of Jerusalem break forth into joyful singing together?	They should do this because Yahweh has comforted his people; he has redeemed Jerusalem. Yahweh has bared his holy arm in the sight of all the nations. 	Isaiah 52:10
23597	What are those who carry the vessels of Yahweh to do?	They are to leave, touch nothing unclean and purify themselves. 	Isaiah 52:11
23598	Why do Yahweh's people not need to be in a rush or panic when they leave?	They don't need to be in a rush or panic because Yahweh will go before them and the God of Israel will be their rearguard. 	Isaiah 52:12
23599	What will Yahweh's servant do?	He will deal wisely and be successful; he will be exalted and lifted high, and will be very exalted. 	Isaiah 52:13
23600	What happened to the appearance of Yahweh's servant?	His appearance was disfigured from human appearance. 	Isaiah 52:14
23601	What will kings do because of Yahweh's servant?	Kings will close their mouths because of him. 	Isaiah 52:15
23602	How did Yahweh's servant grow up?	He grew up before Yahweh like a sapling, and like a sprout out of parched earth. 	Isaiah 53:2
23603	How was Yahweh's servant received by people?	He was despised and rejected by people and considered insignificant. 	Isaiah 53:3
23604	What did Yahweh's servant do for us?	He bore our sicknesses and carried our sorrows. 	Isaiah 53:4
23605	Why was Yahweh's servant pierced and crushed?	He was pierced for our rebellious deeds and crushed because of our sins. 	Isaiah 53:5
