factgrid-ubs_combining_criteria	wiki_combining_criteria	factgrid_id	ubs_id	wiki_id	factgrid_name	ubs_name	wiki_name	factgrid_desc	ubs_desc	wiki_desc	factgrid_ref	ubs_ref
name, but ref swapped		Q166861	ID_1150ot		Harumaph	Harumaph		male biblical protagonist (Nehemiah 3:10)	father of Jedaiah, after exile		Nehemiah 3:10	[(16, 1, 3, 1)]
name, but ref swapped		Q166875	ID_1179ot		Hashabnah	Hashabnah		male biblical protagonist (Nehemiah 10:25)	chief; after exile		Nehemiah 10:25	[(16, 1, 10, 1)]
name, but ref swapped		Q166885	ID_1182ot		Hashum	Hashum		male biblical protagonist (Ezra 2:19)	family head; after exile		Ezra 2:19	[(15, 1, 2, 1), (15, 1, 10, 1), (16, 1, 7, 1), (16, 1, 8, 1), (16, 1, 10, 1)]
name, but ref swapped		Q166890	ID_881ot		Hassenaah	Hassenaah		male biblical protagonist (Nehemiah 3:3)	family head; after exile		Nehemiah 3:3	[(16, 1, 3, 1)]
name, but ref swapped		Q166895	ID_1027ot		Hatipha	Hatipha		male biblical protagonist (Ezra 2:54)	family head; temple servants; after exile		Ezra 2:54	[(15, 1, 2, 1), (16, 1, 7, 1)]
name, but ref swapped		Q166897	ID_1026ot		Hattil	Hattil		male biblical protagonist (Ezra 2:57)	family head; servants of Solomon; after exile		Ezra 2:57	[(15, 1, 2, 1), (16, 1, 7, 1)]
name, but ref swapped		Q166904	ID_1012ot		Hazael	Hazael		male biblical protagonist (1 Kings 19:15)	king of Syria		1 Kings 19:15	[(11, 1, 19, 1), (11, 1, 19, 1), (12, 1, 8, 1), (12, 1, 8, 1), (12, 1, 8, 1), (12, 1, 8, 1), (12, 1, 8, 1), (12, 1, 8, 1), (12, 1, 8, 1), (12, 1, 9, 1), (12, 1, 9, 1), (12, 1, 10, 1), (12, 1, 12, 1), (12, 1, 12, 1), (12, 1, 13, 1), (12, 1, 13, 1), (12, 1, 13, 1), (12, 1, 13, 1), (14, 1, 22, 1), (14, 1, 22, 1), (30, 1, 1, 1)]
name, but ref swapped		Q166919	ID_846ot		Hegai	Hegai		male biblical protagonist (Esther 2:3)	eunuch; in charge of women of Ahasuerus		Esther 2:3	[(17, 1, 2, 1), (17, 1, 2, 1), (17, 1, 2, 1)]
name, but ref swapped		Q166929	ID_1062ot		Helez	Helez		male biblical protagonist (2 Samuel 23:26)	warrior; time of king David		2 Samuel 23:26	[(10, 1, 23, 1), (13, 1, 11, 1), (13, 1, 27, 1)]
name, but ref swapped		Q166932	ID_1065ot		Helkai	Helkai		male biblical protagonist (Nehemiah 12:15)	priest; after exile		Nehemiah 12:15	[(16, 1, 12, 1)]
name, but ref swapped		Q166941	ID_1087ot		Henadad	Henadad		male biblical protagonist (Ezra 3:9)	Levite; after exile		Ezra 3:9	[(15, 1, 3, 1), (16, 1, 3, 1), (16, 1, 3, 1), (16, 1, 10, 1)]
name, but ref swapped		Q166949	ID_1114ot		Hephzibah	Hephzibah		female biblical protagonist (2 Kings 21:1)	wife of king Hezekiah; mother of king Manasseh		2 Kings 21:1	[(12, 1, 21, 1)]
name, but ref swapped		Q166965	ID_1017ot		Hezion	Hezion		male biblical protagonist (1 Kings 15:18)	grandfather of Ben-Hadad, king of Syria		1 Kings 15:18	[(11, 1, 15, 1)]
name, but ref swapped		Q166973	ID_1029ot		Hiel	Hiel		male biblical protagonist (1 Kings 16:34)	man; from Bethel; rebuilt Jericho		1 Kings 16:34	[(11, 1, 16, 1)]
name, but ref swapped		Q166981	ID_873ot		Hillel	Hillel		male biblical protagonist (Judges 12:13)	father of Abdon, judge		Judges 12:13	[(7, 1, 12, 1), (7, 1, 12, 1)]
name, but ref swapped		Q166991	ID_861ot		Hodaviah	Hodaviah		male biblical protagonist (1 Chronicles 5:24)	family head; tribe of Manasseh		1 Chronicles 5:24	[(13, 1, 5, 1)]
name, but ref swapped		Q166994	ID_991ot		Hodesh	Hodesh		female biblical protagonist (1 Chronicles 8:9)	wife of Shaharaim, tribe of Benjamin		1 Chronicles 8:9	[(13, 1, 8, 1)]
name, but ref swapped		Q167001	ID_864ot		Hoham	Hoham		male biblical protagonist (Joshua 10:3)	king of Hebron; time of Joshua		Joshua 10:3	[(6, 1, 10, 1)]
name, but ref swapped		Q167004	ID_894ot		Horam	Horam		male biblical protagonist (Joshua 10:33)	king of Gezer; time of Joshua		Joshua 10:33	[(6, 1, 10, 1)]
name, but ref swapped		Q167009	ID_868ot		Hoshaiah	Hoshaiah		male biblical protagonist (Nehemiah 12:32)	man; after exile		Nehemiah 12:32	[(16, 1, 12, 1)]
name, but ref swapped	both names	Q167021	ID_1050ot	Q583207	Huldah	Huldah	Huldah	female biblical protagonist (2 Kings 22:14)	prophetess; time of Josiah	biblical character	2 Kings 22:14	[(12, 1, 22, 1), (14, 1, 34, 1)]
name, but ref swapped		Q167023	ID_1111ot		Huppah	Huppah		male biblical protagonist (1 Chronicles 24:13)	priest; time of king David		1 Chronicles 24:13	[(13, 1, 24, 1)]
name, but ref swapped		Q167036	ID_1009ot		Hushai	Hushai		male biblical protagonist (2 Samuel 15:32)	Arkite; counselor of king David		2 Samuel 15:32	[(10, 1, 15, 1), (10, 1, 15, 1), (10, 1, 16, 1), (10, 1, 16, 1), (10, 1, 16, 1), (10, 1, 17, 1), (10, 1, 17, 1), (10, 1, 17, 1), (10, 1, 17, 1), (10, 1, 17, 1), (10, 1, 17, 1), (13, 1, 27, 1)]
name, but ref swapped		Q167045	ID_1227ot		Ibnijah	Ibnijah		male biblical protagonist (1 Chronicles 9:8)	ancestor of Meshullam; tribe of Benjamin		1 Chronicles 9:8	[(13, 1, 9, 1)]
name, but ref swapped	both names	Q167047	ID_46ot	Q645796	Ibzan	Ibzan	Ibzan	male biblical protagonist (Judges 12:8)	judge of Israel	in the Bible, one of the Judges of Israel	Judges 12:8	[(7, 1, 12, 1), (7, 1, 12, 1)]
name, but ref swapped		Q167059	ID_1235ot		Igdaliah	Igdaliah		male biblical protagonist (Jeremiah 35:4)	father of Hanan; man of God		Jeremiah 35:4	[(24, 1, 35, 1)]
name, but ref swapped		Q167061	ID_2314ot		Ikkesh	Ikkesh		male biblical protagonist (2 Samuel 23:26)	father of Ira, from Tekoa, warrior, time of king David		2 Samuel 23:26	[(10, 1, 23, 1), (13, 1, 11, 1), (13, 1, 27, 1)]
name, but ref swapped		Q167066	ID_297ot		Immer	Immer		male biblical protagonist (1 Chronicles 9:12)	ancestor of Maasai, Amashsai, priest		1 Chronicles 9:12	[(13, 1, 9, 1), (16, 1, 11, 1)]
name, but ref swapped		Q167076	ID_2226ot		Ir	Ir		male biblical protagonist (1 Chronicles 7:12)	father of Huppim; tribe of Benjamin		1 Chronicles 7:12	[(13, 1, 7, 1)]
name, but ref swapped		Q167081	ID_2231ot		Iram	Iram		male biblical protagonist (Genesis 36:43)	chief of Edom		Genesis 36:43	[(1, 1, 36, 1), (13, 1, 1, 1)]
name, but ref swapped		Q167112	ID_1381ot		Ismachiah	Ismachiah		male biblical protagonist (2 Chronicles 31:13)	Levite; time of king Hezekiah		2 Chronicles 31:13	[(14, 1, 31, 1)]
name, but ref swapped		Q167126	ID_1514ot		Ithmah	Ithmah		male biblical protagonist (1 Chronicles 11:46)	from Moab; warrior; time of king David		1 Chronicles 11:46	[(13, 1, 11, 1)]
name, but ref swapped		Q167137	ID_1401ot		Jaakobah	Jaakobah		male biblical protagonist (1 Chronicles 4:36)	man; tribe of Simeon		1 Chronicles 4:36	[(13, 1, 4, 1)]
name, but ref swapped		Q167154	ID_1222ot		Jabin	Jabin		male biblical protagonist (Joshua 11:1)	king of Hazor; time of Joshua		Joshua 11:1	[(6, 1, 11, 1)]
name, but ref swapped	similarity > 1.3	Q167164	ID_1243ot	Q6271831	Jaddua	Jaddua	Jonadab	male biblical protagonist (Nehemiah 10:21)	chief; after exile	character in 2 Samuel; son of Shimeah	Nehemiah 10:21	[(16, 1, 10, 1)]
name, but ref swapped		Q167166	ID_1242ot		Jadon	Jadon		male biblical protagonist (Nehemiah 3:7)	man from Meronoth; after exile		Nehemiah 3:7	[(16, 1, 3, 1)]
name, but ref swapped		Q167181	ID_1336ot		Jahdiel	Jahdiel		male biblical protagonist (1 Chronicles 5:24)	family head; tribe of Manasseh		1 Chronicles 5:24	[(13, 1, 5, 1)]
name, but ref swapped		Q167209	ID_1410ot		Japhia	Japhia		male biblical protagonist (Joshua 10:3)	king of Lachish; time of Joshua		Joshua 10:3	[(6, 1, 10, 1)]
name, but ref swapped		Q167216	ID_1453ot		Jarha	Jarha		male biblical protagonist (1 Chronicles 2:34)	Egyptian slave; tribe of Judah		1 Chronicles 2:34	[(13, 1, 2, 1), (13, 1, 2, 1)]
name, but ref swapped		Q167224	ID_1481ot		Jashobeam	Jashobeam		male biblical protagonist (1 Chronicles 12:6)	son of Zabdiel; warrior; time of David		1 Chronicles 12:6	[(13, 1, 11, 1), (13, 1, 12, 1), (13, 1, 27, 1)]
name, but ref swapped		Q167231	ID_1327ot		Jaziz	Jaziz		male biblical protagonist (1 Chronicles 27:31)	Hagarite; official; time of king David		1 Chronicles 27:31	[(13, 1, 27, 1)]
name, but ref swapped		Q167234	ID_1230ot		Jeberechiah	Jeberechiah		male biblical protagonist (Isaiah 8:2)	father of Zechariah, time of prophet Isaiah		Isaiah 8:2	[(23, 1, 8, 1)]
name, but ref swapped		Q167253	ID_1244ot		Jeduthun	Jeduthun		male biblical protagonist (1 Chronicles 9:16)	temple singer; time of king David		1 Chronicles 9:16	[(13, 1, 9, 1), (13, 1, 16, 1), (13, 1, 16, 1), (13, 1, 16, 1), (13, 1, 25, 1), (13, 1, 25, 1), (13, 1, 25, 1), (14, 1, 5, 1), (14, 1, 29, 1), (14, 1, 35, 1), (16, 1, 11, 1), (19, 1, 39, 1), (19, 1, 62, 1), (19, 1, 77, 1)]
name, but ref swapped		Q167261	ID_1346ot		Jehiah	Jehiah		male biblical protagonist (1 Chronicles 15:18)	gatekeeper; time of king David		1 Chronicles 15:18	[(13, 1, 15, 1)]
name, but ref swapped		Q167329	ID_1390ot		Jeiel	Jeiel		male biblical protagonist (1 Chronicles 5:7)	man; tribe of Reuben		1 Chronicles 5:7	[(13, 1, 5, 1)]
name, but ref swapped		Q167344	ID_1413ot		Jephunneh	Jephunneh		male biblical protagonist (Numbers 13:6)	father of Caleb; tribe of Judah		Numbers 13:6	[(4, 1, 13, 1), (4, 1, 14, 1), (4, 1, 14, 1), (4, 1, 14, 1), (4, 1, 26, 1), (4, 1, 32, 1), (4, 1, 34, 1), (5, 1, 1, 1), (6, 1, 14, 1), (6, 1, 14, 1), (6, 1, 14, 1), (6, 1, 15, 1), (6, 1, 21, 1), (13, 1, 4, 1), (13, 1, 6, 1)]
name, but ref swapped		Q167352	ID_1463ot		Jeremai	Jeremai		male biblical protagonist (Ezra 10:33)	man; married foreign wife; after exile		Ezra 10:33	[(15, 1, 10, 1)]
name, but ref swapped	both names	Q167354	ID_1464ot	Q158825	Jeremiah	Jeremiah	Jeremiah	male biblical protagonist (1 Chronicles 5:24)	family head; tribe of Manasseh	Biblical prophet	1 Chronicles 5:24	[(13, 1, 5, 1)]
name, but ref swapped		Q167380	ID_1460ot		Jerioth	Jerioth		female biblical protagonist (1 Chronicles 2:18)	wife of Caleb; tribe of Judah		1 Chronicles 2:18	[(13, 1, 2, 1)]
name, but ref swapped		Q167391	ID_1440ot		Jerubbesheth	Jerubbesheth		male biblical protagonist (2 Samuel 11:21)	son of Joash; judge of Israel; tribe of Manasse (1169-1129)		2 Samuel 11:21	[(10, 1, 11, 1)]
name, but ref swapped		Q167401	ID_1477ot		Jeshebeab	Jeshebeab		male biblical protagonist (1 Chronicles 24:13)	priest; time of king David		1 Chronicles 24:13	[(13, 1, 24, 1)]
name, but ref swapped		Q167404	ID_1487ot		Jeshohaiah	Jeshohaiah		male biblical protagonist (1 Chronicles 4:36)	man; tribe of Simeon		1 Chronicles 4:36	[(13, 1, 4, 1)]
name, but ref swapped		Q167417	ID_1471ot		Jesimiel	Jesimiel		male biblical protagonist (1 Chronicles 4:36)	man; tribe of Simeon		1 Chronicles 4:36	[(13, 1, 4, 1)]
name, but ref swapped		Q167427	ID_1523ot		Jetheth	Jetheth		male biblical protagonist (Genesis 36:40)	chief of Edom		Genesis 36:40	[(1, 1, 36, 1), (13, 1, 1, 1)]
name, but ref swapped		Q167430	ID_1384ot		Jeuel	Jeuel		male biblical protagonist (1 Chronicles 9:6)	descendant of Zerah; tribe of Judah; after exile		1 Chronicles 9:6	[(13, 1, 9, 1)]
name, but ref swapped		Q167497	ID_1312ot		Joezer	Joezer		male biblical protagonist (1 Chronicles 12:6)	warrior; tribe of Benjamin; time of king David		1 Chronicles 12:6	[(13, 1, 12, 1)]
name, but ref swapped		Q167513	ID_535nt		John	John		male biblical protagonist (Acts 4:6)	John the Baptist		Acts 4:6	[(40, 3, 1, 7), (40, 3, 4, 4), (40, 3, 13, 13), (40, 3, 14, 3), (40, 4, 12, 4), (40, 9, 14, 6), (40, 11, 2, 3), (40, 11, 4, 9), (40, 11, 7, 11), (40, 11, 11, 10), (40, 11, 12, 5), (40, 11, 13, 9), (40, 11, 18, 3), (40, 14, 2, 8), (40, 14, 3, 6), (40, 14, 4, 4), (40, 14, 8, 16), (40, 14, 10, 5), (40, 16, 14, 6), (40, 17, 13, 7), (40, 21, 25, 4), (40, 21, 26, 15), (40, 21, 32, 3), (41, 1, 4, 2), (41, 1, 6, 4), (41, 1, 9, 19), (41, 1, 14, 6), (41, 2, 18, 5), (41, 2, 18, 19), (41, 6, 14, 15), (41, 6, 16, 9), (41, 6, 17, 8), (41, 6, 18, 4), (41, 6, 20, 6), (41, 6, 24, 14), (41, 6, 25, 20), (41, 8, 28, 7), (41, 11, 30, 4), (41, 11, 32, 12), (42, 1, 13, 28), (42, 1, 60, 10), (42, 1, 63, 6), (42, 3, 2, 10), (42, 3, 15, 14), (42, 3, 16, 5), (42, 3, 20, 9), (42, 5, 33, 8), (42, 7, 18, 3), (42, 7, 18, 18), (42, 7, 20, 8), (42, 7, 22, 7), (42, 7, 24, 5), (42, 7, 24, 12), (42, 7, 28, 7), (42, 7, 29, 15), (42, 7, 33, 3), (42, 9, 7, 17), (42, 9, 9, 4), (42, 9, 19, 5), (42, 11, 1, 26), (42, 16, 16, 7), (42, 20, 4, 3), (42, 20, 6, 14), (43, 1, 6, 8), (43, 1, 15, 1), (43, 1, 19, 7), (43, 1, 26, 4), (43, 1, 28, 11), (43, 1, 32, 3), (43, 1, 35, 6), (43, 1, 40, 14), (43, 3, 23, 5), (43, 3, 24, 9), (43, 3, 25, 7), (43, 3, 26, 5), (43, 3, 27, 2), (43, 4, 1, 18), (43, 5, 33, 4), (43, 5, 36, 8), (43, 10, 40, 12), (43, 10, 41, 9), (43, 10, 41, 18), (44, 1, 5, 2), (44, 1, 22, 5), (44, 10, 37, 19), (44, 11, 16, 9), (44, 13, 24, 2), (44, 13, 25, 4), (44, 18, 25, 24), (44, 19, 3, 12), (44, 19, 4, 4), (48, 2, 9, 12)]
name, but ref swapped		Q167518	ID_1300ot		Joiarib	Joiarib		male biblical protagonist (Ezra 8:16)	man; after exile		Ezra 8:16	[(15, 1, 8, 1)]
name, but ref swapped		Q167572	ID_1323ot		Joshaphat	Joshaphat		male biblical protagonist (1 Chronicles 11:43)	warrior; time of king David		1 Chronicles 11:43	[(13, 1, 11, 1)]
name, but ref swapped		Q167583	ID_1309ot		Josiphiah	Josiphiah		male biblical protagonist (Ezra 8:10)	father of man; after exile		Ezra 8:10	[(15, 1, 8, 1)]
name, but ref swapped		Q167597	ID_1314ot		Jozadak	Jozadak		male biblical protagonist (Ezra 10:18)	son of Seraiah; high-priest; tribe of Levi; time of exile		Ezra 10:18	[(15, 1, 3, 1), (15, 1, 3, 1), (15, 1, 5, 1), (15, 1, 10, 1), (16, 1, 12, 1)]
